127.0.0.1, 2016-08-23 10:03:26, GET, /admin, HTTP/1.1, 200, 0.392352
127.0.0.1, 2016-08-23 10:03:26, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 200, 0.000447
127.0.0.1, 2016-08-23 10:03:26, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.000436
127.0.0.1, 2016-08-23 10:03:26, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 200, 0.000433
127.0.0.1, 2016-08-23 10:03:26, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 200, 0.000432
127.0.0.1, 2016-08-23 10:03:26, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000433
127.0.0.1, 2016-08-23 10:03:26, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000449
127.0.0.1, 2016-08-23 10:03:26, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000481
127.0.0.1, 2016-08-23 10:03:26, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000471
127.0.0.1, 2016-08-23 10:03:26, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000431
127.0.0.1, 2016-08-23 10:03:26, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.000454
127.0.0.1, 2016-08-23 10:03:26, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000426
127.0.0.1, 2016-08-23 10:03:26, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000427
127.0.0.1, 2016-08-23 10:03:26, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 200, 0.000469
127.0.0.1, 2016-08-23 10:03:26, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 200, 0.000461
127.0.0.1, 2016-08-23 10:03:29, POST, /admin/default/index, HTTP/1.1, 303, 0.053193
127.0.0.1, 2016-08-23 10:03:29, GET, /admin/default/site, HTTP/1.1, 200, 0.173767
127.0.0.1, 2016-08-23 10:03:30, GET, /admin/static/_2.14.6/images/folder_locked.png, HTTP/1.1, 200, 0.000437
127.0.0.1, 2016-08-23 10:03:30, GET, /admin/static/_2.14.6/images/folder.png, HTTP/1.1, 200, 0.000432
127.0.0.1, 2016-08-23 10:03:30, GET, /admin/static/_2.14.6/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000445
127.0.0.1, 2016-08-23 10:03:31, POST, /admin/default/check_version, HTTP/1.1, 200, 0.700576
127.0.0.1, 2016-08-23 10:03:36, GET, /MensajeriaMasiva/default/index, HTTP/1.1, 404, 0.398521
127.0.0.1, 2016-08-23 10:03:42, GET, /MensajeriaMasiva/start/index, HTTP/1.1, 200, 0.099341
127.0.0.1, 2016-08-23 10:03:46, GET, /MensajeriaMasiva/start/index, HTTP/1.1, 200, 0.072844
127.0.0.1, 2016-08-23 10:04:24, GET, /MensajeriaMasiva/start/index, HTTP/1.1, 200, 0.018059
127.0.0.1, 2016-08-23 10:04:24, GET, /MensajeriaMasiva/static/js/start/index.js, HTTP/1.1, 304, 0.000377
127.0.0.1, 2016-08-23 10:04:28, GET, /MensajeriaMasiva/start/index, HTTP/1.1, 200, 0.020013
127.0.0.1, 2016-08-23 10:04:28, GET, /MensajeriaMasiva/static/js/start/index.js, HTTP/1.1, 304, 0.000367
127.0.0.1, 2016-08-23 10:04:32, GET, /MensajeriaMasiva/start/index, HTTP/1.1, 200, 0.013967
127.0.0.1, 2016-08-23 10:04:48, GET, /MensajeriaMasiva/start/index, HTTP/1.1, 200, 0.010252
127.0.0.1, 2016-08-23 10:04:49, GET, /MensajeriaMasiva/static/js/start/index.js, HTTP/1.1, 200, 0.000497
127.0.0.1, 2016-08-23 10:05:49, GET, /MensajeriaMasiva/start/index, HTTP/1.1, 200, 0.016978
127.0.0.1, 2016-08-23 10:05:49, GET, /MensajeriaMasiva/static/js/start/index.js, HTTP/1.1, 304, 0.000414
127.0.0.1, 2016-08-23 10:05:52, GET, /MensajeriaMasiva/start/index, HTTP/1.1, 200, 0.019540
127.0.0.1, 2016-08-23 10:06:10, GET, /MensajeriaMasiva/start/index, HTTP/1.1, 200, 0.016442
127.0.0.1, 2016-08-23 10:06:10, GET, /MensajeriaMasiva/static/js/start/index.js, HTTP/1.1, 304, 0.000380
127.0.0.1, 2016-08-23 10:06:13, GET, /MensajeriaMasiva/start/index, HTTP/1.1, 200, 0.013816
127.0.0.1, 2016-08-23 10:06:16, GET, /MensajeriaMasiva/start/index, HTTP/1.1, 200, 0.016342
127.0.0.1, 2016-08-23 10:06:16, GET, /MensajeriaMasiva/static/js/start/index.js, HTTP/1.1, 304, 0.000369
127.0.0.1, 2016-08-23 10:06:18, GET, /MensajeriaMasiva/start/index, HTTP/1.1, 200, 0.011231
127.0.0.1, 2016-08-23 10:06:18, GET, /MensajeriaMasiva/static/js/start/index.js, HTTP/1.1, 304, 0.000411
127.0.0.1, 2016-08-23 10:12:38, GET, /MensajeriaMasiva/start/index, HTTP/1.1, 200, 0.012639
127.0.0.1, 2016-08-23 10:12:39, GET, /MensajeriaMasiva/static/js/start/index.js, HTTP/1.1, 304, 0.000627
127.0.0.1, 2016-08-23 10:12:43, GET, /MensajeriaMasiva/start/index, HTTP/1.1, 200, 0.010088
127.0.0.1, 2016-08-23 10:13:42, GET, /MensajeriaMasiva/start/index, HTTP/1.1, 200, 0.009698
127.0.0.1, 2016-08-23 10:14:32, GET, /MensajeriaMasiva/start/index, HTTP/1.1, 200, 0.283965
127.0.0.1, 2016-08-23 10:14:33, GET, /MensajeriaMasiva/static/js/start/index.js, HTTP/1.1, 200, 0.000421
127.0.0.1, 2016-08-23 10:14:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000329
127.0.0.1, 2016-08-23 10:14:50, GET, /MensajeriaMasiva/start/index, HTTP/1.1, 200, 1.160667
127.0.0.1, 2016-08-23 10:16:17, GET, /MensajeriaMasiva/start/index, HTTP/1.1, 200, 1.360628
